#T eMean sigmaE mMean sigmaM 
1.936000 1839.600098 2154.730713 951.599976 597.486450
1.940000 1837.999878 1924.698730 950.800049 652.142151
1.944000 1820.800049 1535.432129 948.799988 333.708160
1.948000 1827.200195 1662.696289 953.599976 220.711563
1.952000 1813.199951 2221.437012 950.000000 276.812500
1.956000 1829.599854 1722.875977 954.000000 289.562500
1.960000 1825.600098 1843.533447 951.399963 348.859680
1.964000 1774.799927 1069.219971 924.800049 488.057190
1.968000 1768.400024 2475.103760 928.000000 428.875000
1.972000 1804.800049 1778.533691 941.400024 341.681519
1.976000 1806.400024 2592.701904 947.400024 374.381226
1.980000 1810.800171 3452.240967 941.399963 631.233948
1.984000 1788.399902 4206.539062 937.400024 772.069214
1.988000 1806.399902 1268.392822 938.400024 225.394180
1.992000 1791.999878 3251.687500 939.400024 472.031616
1.996000 1819.599854 1441.873047 946.200012 357.161896
2.000000 1812.800049 4328.482910 943.000000 1037.000000
2.004000 1801.600098 3866.338135 936.399963 1107.108643
2.008000 1755.599976 4372.475586 920.400024 762.920044
2.012000 1807.199951 949.586487 944.600098 315.905518
2.016000 1757.599854 4666.754883 922.400024 917.444946
2.020000 1762.800049 5910.237793 928.199951 1127.663086
